Epoch,Baseline,In order,Reverse order,Hybrid
0,31.18,23.46,25.56,31.56
5,49.55,48.78,44.03,47.04
10,62.35,57.72,53.69,61.26
15,66.92,66.24,59.50,62.40
20,70.59,66.22,62.81,70.10
25,75.40,72.27,66.55,72.89
30,69.26,76.10,67.86,71.11
35,75.19,76.90,69.00,72.06
40,76.58,76.13,69.94,69.78
45,76.70,75.19,68.59,74.54
50,75.39,75.49,70.09,67.90
55,75.65,70.43,66.19,73.38
60,77.44,76.42,71.77,74.65
65,77.65,74.14,74.32,74.50
70,73.84,72.68,70.88,73.58
75,73.53,72.84,72.46,70.14
80,77.80,79.37,72.61,72.81
85,77.11,74.85,73.10,73.76
90,78.95,74.82,72.58,72.82
95,77.46,75.55,74.22,75.17
100,74.89,76.69,76.74,76.77
105,81.25,75.04,78.86,73.35
110,78.27,76.26,76.42,76.24
115,80.02,77.47,77.58,77.43
120,82.75,78.81,78.33,78.25
125,81.41,81.74,80.21,79.98
130,83.75,79.16,81.11,78.96
135,83.15,78.93,79.27,79.16
140,84.09,81.94,80.49,82.49
145,84.85,80.88,82.59,79.70
150,84.13,78.47,81.35,82.19
155,84.50,82.59,84.08,81.75
160,86.35,81.40,85.17,83.32
165,86.73,83.85,85.08,84.77
170,88.11,83.22,85.95,84.12
175,88.97,84.35,86.57,85.95
180,89.21,84.66,87.06,86.63
185,89.78,85.66,88.31,87.94
190,89.85,86.49,88.97,88.01
195,89.95,86.57,89.13,88.22