Epochs,Baseline,In order,Reverse order,Hybrid
0,0,0,0,0
10,0.015798,0.012352,0.034262,0.034262
20,0.055221,0.038662,0.069063,0.069063
30,0.09261,0.069667,0.10825,0.10825
40,0.12319,0.094529,0.1439,0.1439
50,0.16104,0.12462,0.17797,0.17797
60,0.19468,0.1493,0.21791,0.21468
70,0.23431,0.18336,0.26357,0.26042
80,0.27839,0.22265,0.30859,0.29888
90,0.32101,0.26154,0.34719,0.33485
100,0.36099,0.29678,0.38664,0.38025
110,0.40065,0.33701,0.4175,0.41392
120,0.43474,0.36899,0.45249,0.44851
130,0.4633,0.39768,0.48018,0.47411
140,0.48808,0.42504,0.50567,0.49927
150,0.51484,0.45436,0.5257,0.51978
160,0.53992,0.48035,0.54641,0.54257
170,0.55814,0.50206,0.56445,0.56198
180,0.57574,0.52127,0.57986,0.5768
190,0.5905,0.53828,0.59468,0.58696
200,0.60295,0.55326,0.60516,0.59734
210,0.61348,0.56641,0.6135,0.60593
220,0.62203,0.57733,0.62197,0.61447
230,0.62995,0.5869,0.62859,0.62154
240,0.63531,0.59578,0.63419,0.62658
250,0.64119,0.60385,0.64016,0.63133
260,0.64577,0.61046,0.64527,0.63615
270,0.65041,0.61616,0.64969,0.64051
280,0.65421,0.62208,0.6534,0.64446
290,0.65821,0.62702,0.65703,0.64863
300,0.66195,0.63167,0.66053,0.65127
310,0.66494,0.63592,0.66414,0.65475
320,0.66715,0.64009,0.66684,0.65723
330,0.66925,0.64411,0.66958,0.65965
340,0.67171,0.64772,0.67173,0.66232
350,0.67443,0.65098,0.67447,0.66485
360,0.67628,0.65404,0.67662,0.66707
370,0.67947,0.65728,0.67946,0.66961
380,0.68149,0.66052,0.68178,0.67195
390,0.68274,0.66401,0.68435,0.67466
400,0.68518,0.66752,0.68638,0.67759
410,0.68748,0.67079,0.68826,0.67991
420,0.69016,0.67447,0.69087,0.68189
430,0.69282,0.6776,0.69298,0.68443
440,0.69524,0.68072,0.69537,0.68699
450,0.69757,0.68364,0.69698,0.68932
460,0.70058,0.68647,0.69883,0.69112
470,0.70308,0.68916,0.70074,0.69285
480,0.70563,0.6921,0.70254,0.69492
490,0.7077,0.69483,0.70424,0.6972
500,0.71014,0.69717,0.70586,0.69895
510,0.71202,0.69967,0.70769,0.70152
520,0.71421,0.7021,0.70939,0.70313
530,0.71592,0.70452,0.71039,0.70495
540,0.71845,0.70669,0.71162,0.70638
550,0.72035,0.70848,0.71278,0.70807
560,0.72243,0.71039,0.71389,0.70942
570,0.7237,0.71272,0.71504,0.71096
580,0.72487,0.71424,0.71677,0.71171
590,0.72646,0.71582,0.71741,0.71284
600,0.72712,0.71736,0.71842,0.71419