Epoch,Baseline,Skip 1RS,Skip 1RS1AG,Skip 2RS,Progressive
0,73.30,73.94,72.95,70.26,73.47273287
,79.71,79.78,78.58,77.77,79.96067296
,81.19,81.56,81.65,80.84,81.47404343
,83.09,83.44,82.99,82.36,83.06521548
,83.72,83.44,83.43,82.65,84.02183582
,84.18,85.11,84.64,84.10,84.60179265
,84.98,85.00,84.63,83.99,84.43925081
,85.71,85.68,85.91,85.18,85.36769093
,85.78,86.38,85.89,85.25,85.73195631
,86.81,85.89,86.01,85.35,85.80388311
,86.56,86.89,86.39,85.99,86.47078414
,87.02,86.86,86.65,86.34,86.11903614
,86.98,87.31,86.89,86.52,86.92633259
,87.00,87.06,87.11,86.54,86.80996925
1,86.91,87.49,87.30,86.90,86.87495033
,87.35,87.22,86.86,86.43,87.07842839
,87.16,87.56,87.30,87.12,87.24808275
,87.58,87.71,87.38,86.98,87.52394866
,87.44,87.85,87.57,87.11,87.37795801
,87.53,87.64,87.83,87.08,87.66256983
,87.76,88.02,87.81,87.21,87.77557813
,87.71,88.11,88.09,87.63,87.50475941
,87.79,88.33,88.08,87.44,87.78441733
,87.84,88.00,88.08,87.35,87.9406568
,88.04,88.21,88.20,87.64,88.23829026
,88.21,88.45,88.20,87.81,88.33576326
,88.13,88.57,88.32,88.18,88.19510782
,88.15,88.55,88.25,87.93,88.37152441
2,88.01,88.43,88.46,87.92,88.41931028
,87.97,88.80,88.40,87.82,88.37381945
,88.03,88.56,88.41,87.68,88.40288674
,88.05,88.42,88.33,87.83,88.42357271
,87.97,88.31,88.11,88.00,88.29385753
,88.17,88.57,88.38,88.19,88.42886236
,87.98,88.67,88.44,88.18,88.34885692
,88.32,88.65,88.52,88.11,88.40316809
,88.35,88.74,88.57,88.15,88.37845175
,88.37,88.65,88.60,87.95,88.57514542
,88.25,88.66,88.56,88.17,88.42239409
,88.38,88.69,88.63,88.35,88.4776329
3,88.51,88.76,88.65,88.30,88.48191591