Epochs,Baseline,Skip 2RS,Skip 2RS2AG,Skip 4RS,Progressive
0,0,0,0,0,0
10,0.040777,0.031567,0.0039131,0.016617,0.013178
20,0.097033,0.080169,0.018538,0.053893,0.048506
30,0.15389,0.11669,0.039156,0.086783,0.08968
40,0.22075,0.17607,0.053061,0.1142,0.11947
50,0.29732,0.22845,0.06567,0.14884,0.16159
60,0.36384,0.2891,0.078732,0.19019,0.19861
70,0.42346,0.34229,0.08886,0.22595,0.23421
80,0.4796,0.39558,0.10188,0.26919,0.28085
90,0.51936,0.44213,0.11027,0.3019,0.3181
100,0.54993,0.47983,0.11667,0.33515,0.35109
110,0.57331,0.50969,0.12714,0.3641,0.38096
120,0.59147,0.5336,0.13342,0.38796,0.40656
130,0.60617,0.55139,0.13877,0.40911,0.42815
140,0.6158,0.5648,0.14145,0.42653,0.44557
150,0.62424,0.57571,0.14353,0.44111,0.46073
160,0.62667,0.58548,0.14442,0.45437,0.4757
170,0.63241,0.59458,0.14499,0.46764,0.49001
180,0.64014,0.60356,0.14363,0.48043,0.5042
190,0.64736,0.61249,0.14339,0.49303,0.51743
200,0.65411,0.62243,0.14249,0.50597,0.53098
210,0.66106,0.63099,0.14152,0.51927,0.54408
220,0.66753,0.63902,0.13901,0.53144,0.55708
230,0.67381,0.64708,0.13728,0.54475,0.56996
240,0.67951,0.65511,0.13366,0.55695,0.58292
250,0.68221,0.66244,0.13017,0.56972,0.59518
260,0.6854,0.66966,0.12629,0.58178,0.60721
270,0.69053,0.67602,0.12673,0.59237,0.61825
280,0.69635,0.68156,0.12737,0.60356,0.62872
290,0.69754,0.68743,0.12864,0.61347,0.63806
300,0.7001,0.69174,0.13393,0.623,0.64706
310,0.70103,0.69696,0.14013,0.632,0.65557
320,0.70592,0.70115,0.14667,0.64015,0.66221
330,0.71024,0.70555,0.15294,0.64891,0.66898
340,0.71432,0.70978,0.16081,0.65592,0.67504
350,0.71816,0.71314,0.16767,0.6619,0.68096
360,0.72201,0.71725,0.1756,0.66742,0.68631
370,0.72545,0.72031,0.18416,0.67283,0.69102
380,0.72865,0.72307,0.19206,0.67804,0.69508
390,0.73133,0.72531,0.19967,0.68201,0.69949
400,0.7335,0.72725,0.20581,0.685,0.70238